Year,Month,Day,ETH to USD,Latency - 100 GWei,Deploy (StackelbergGameOffChain),Deploy (StackelbergGameOnChain),grantRole,revokeRole,initialize,input,initEvaluation,output (StackelbergGameOffChain),output (StackelbergGameOnChain)
2022,7,31,1679.55,45.02647783251231,372.93937475999996,453.88310359499997,8.73836274,5.06048415,11.82873474,21.826592025,5.17536537,39.43180308,48.91504624499999
2022,8,1,1630.62,45.023169601482856,362.07460526399996,440.66021635799996,8.483789735999999,4.913058059999999,11.484130535999999,21.190722209999997,5.024592467999999,38.283044112,47.490013817999994
2022,8,2,1631.11,45.37526108145742,362.183408392,440.792634399,8.486339108000001,4.91453443,11.487581508,21.197090005,5.026102354,38.294548136,47.504284529
2022,8,3,1618.68,45.0,359.42336169600003,437.43354001200004,8.421668304,4.877082840000001,11.400039504,21.035555940000002,4.987800552,38.002721568000005,47.142274452
2022,8,4,1607.96,45.0,357.043015712,434.53655756399996,8.365894288,4.84478348,11.324540688,20.89624418,4.954767944,37.751041696,46.830066244
2022,8,5,1736.78,45.0,385.64713601599993,469.34899030199995,9.036118984,5.23291814,12.231794184,22.570324489999997,5.351713892,40.775426128,50.581807041999994
2022,8,6,1690.67,45.0,375.40853962399996,456.888182403,8.796217876,5.09398871,11.907050676,21.971101985,5.209630538,39.692873992,49.238904013
2022,8,7,1700.54,45.0,377.600145488,459.555460086,8.847569512,5.12372702,11.976563112,22.09936757,5.240043956,39.924597903999995,49.526356906
2022,8,8,1777.99,52.163763066202094,394.797701128,480.48561779100004,9.250526372000001,5.35708387,12.522027972,23.105869045000002,5.4786983860000005,41.742938024000004,51.782002961
2022,8,9,1703.41,48.8994552882433,378.23742095200004,460.33105146900004,8.862501548000001,5.13237433,11.996775948,22.136664655,5.248887574,39.991978616000004,49.609942499000006
2022,8,10,1854.05,74.46997449571064,411.6866111599999,501.04014064499995,9.64625134,5.58625265,13.057703339999998,24.094306775,5.713069669999999,43.528644279999995,53.997166795
2022,8,11,1881.06,45.0,417.684106032,508.33934735400004,9.786778968,5.66763378,13.247929368,24.445315230000002,5.796298284000001,44.162774256000006,54.783803334000005
