Date(UTC),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain)
2022-08-11,26961948839,1881.06,5.07E-05,116.0346616,140.4762699,2.6387063,1.5281045,1.5409866,3.6619734,6.5089746,1.5624400,14.4189062,18.0475078,114199168591,0.92,1.05E-07,0.2403724,0.2910046,0.0054662,0.0031656,0.0031922,0.0075860,0.0134837,0.0032367,0.0298696,0.0373864
2022-08-12,20744690017,1959.26,4.06E-05,92.9892689,112.5765823,2.1146386,1.2246110,1.2349346,2.9346768,5.2162413,1.2521271,11.5551985,14.4631314,113689507687,0.94,1.07E-07,0.2445018,0.2960038,0.0055601,0.0032199,0.0032471,0.0077163,0.0137153,0.0032923,0.0303827,0.0380287
2022-08-13,13437723600,1984.29,2.67E-05,61.0048915,73.8549971,1.3872923,0.8033966,0.8101693,1.9252720,3.4220748,0.8214483,7.5806987,9.4884256,160683186694,1.03,1.66E-07,0.3786531,0.4584128,0.0086108,0.0049866,0.0050287,0.0119500,0.0212406,0.0050987,0.0470529,0.0588940
2022-08-14,14343206452,1936.02,2.78E-05,63.5316157,76.9139520,1.4447517,0.8366720,0.8437252,2.0050137,3.5638116,0.8554714,7.8946790,9.8814209,118417858442,1,1.18E-07,0.2709262,0.3279943,0.0061610,0.0035679,0.0035980,0.0085502,0.0151976,0.0036481,0.0336663,0.0421386
2022-08-15,25490752408,1899.64,4.84E-05,110.7867371,134.1229196,2.5193650,1.4589926,1.4712921,3.4963526,6.2145919,1.4917752,13.7667792,17.2312693,133837155951,0.95,1.27E-07,0.2908936,0.3521676,0.0066151,0.0038309,0.0038632,0.0091804,0.0163177,0.0039170,0.0361475,0.0452443
2022-08-16,15518320871,1877.16,2.91E-05,66.6468811,80.6854187,1.5155950,0.8776981,0.8850972,2.1033293,3.7385627,0.8974193,8.2817937,10.3659552,112758322383,0.93,1.05E-07,0.2399194,0.2904562,0.0054559,0.0031596,0.0031862,0.0075717,0.0134583,0.0032306,0.0298133,0.0373160
2022-08-17,15840742318,1834.04,2.91E-05,66.4688468,80.4698832,1.5115463,0.8753535,0.8827328,2.0977107,3.7285759,0.8950221,8.2596705,10.3382646,158934008819,0.88,1.40E-07,0.3199877,0.3873901,0.0072767,0.0042140,0.0042496,0.0100986,0.0179497,0.0043087,0.0397629,0.0497694
2022-08-18,15531651130,1846.36,2.87E-05,65.6096651,79.4297230,1.4920080,0.8640386,0.8713226,2.0705955,3.6803800,0.8834529,8.1529053,10.2046313,103070852235,0.86,8.86E-08,0.2028001,0.2455180,0.0046118,0.0026708,0.0026933,0.0064002,0.0113761,0.0027308,0.0252007,0.0315426
2022-08-19,21371448232,1609.05,3.44E-05,78.6751001,95.2472687,1.7891248,1.0361023,1.0448368,2.4829316,4.4132867,1.0593828,9.7764657,12.2367701,173523672733,0.77,1.34E-07,0.3056914,0.3700825,0.0069516,0.0040258,0.0040597,0.0096474,0.0171478,0.0041162,0.0379864,0.0475459
2022-08-20,14312223578,1575.73,2.26E-05,51.5967951,62.4651739,1.1733459,0.6794978,0.6852260,1.6283591,2.8943268,0.6947656,6.4116130,8.0251327,136937008701,0.79,1.08E-07,0.2475037,0.2996381,0.0056284,0.0032595,0.0032869,0.0078110,0.0138837,0.0033327,0.0307557,0.0384956
2022-08-21,10779092286,1617.86,1.74E-05,39.8985340,48.3027844,0.9073195,0.5254389,0.5298685,1.2591701,2.2381118,0.5372452,4.9579428,6.2056380,178123205969,0.82,1.46E-07,0.3341705,0.4045604,0.0075993,0.0044008,0.0044379,0.0105462,0.0187453,0.0044997,0.0415253,0.0519754
2022-08-22,18066664879,1624.65,2.94E-05,67.1539581,81.2993067,1.5271262,0.8843760,0.8918314,2.1193323,3.7670072,0.9042473,8.3448050,10.4448237,141224062289,0.81,1.14E-07,0.2617143,0.3168420,0.0059516,0.0034466,0.0034757,0.0082595,0.0146809,0.0035241,0.0325216,0.0407059
2022-08-23,16511696178,1664.76,2.75E-05,62.8893538,76.1364037,1.4301463,0.8282138,0.8351957,1.9847444,3.5277839,0.8468232,7.8148691,9.7815264,121474008323,0.83,1.01E-07,0.2306722,0.2792611,0.0052456,0.0030378,0.0030634,0.0072799,0.0129396,0.0031061,0.0286642,0.0358777
2022-08-24,15702512320,1656.52,2.60E-05,59.5113275,72.0468280,1.3533277,0.7837273,0.7903342,1.8781362,3.3382932,0.8013371,7.3951028,9.2561234,111036010404,0.81,8.99E-08,0.2057703,0.2491139,0.0046794,0.0027099,0.0027327,0.0064940,0.0115427,0.0027708,0.0255698,0.0320046
2022-08-25,20904763641,1695.85,3.55E-05,81.1085259,98.1932728,1.8444625,1.0681490,1.0771536,2.5597288,4.5497900,1.0921495,10.0788524,12.6152542,101333799715,0.82,8.31E-08,0.1901087,0.2301533,0.0043232,0.0025036,0.0025247,0.0059997,0.0106642,0.0025599,0.0236236,0.0295686
2022-08-26,18105901387,1508.09,2.73E-05,62.4713976,75.6304090,1.4206416,0.8227096,0.8296451,1.9715540,3.5043386,0.8411953,7.7629323,9.7165193,230590340470,0.77,1.78E-07,0.4062241,0.4917913,0.0092378,0.0053497,0.0053948,0.0128201,0.0227872,0.0054699,0.0504789,0.0631823
2022-08-27,11733733734,1491.26,1.75E-05,40.0334860,48.4661627,0.9103884,0.5272162,0.5316607,1.2634290,2.2456820,0.5390624,4.9747125,6.2266278,138200875161,0.81,1.12E-07,0.2561118,0.3100594,0.0058242,0.0033728,0.0034013,0.0080827,0.0143666,0.0034486,0.0318254,0.0398345
2022-08-28,11329800648,1426.4,1.62E-05,36.9740828,44.7623251,0.8408155,0.4869257,0.4910306,1.1668764,2.0740645,0.4978666,4.5945395,5.7507820,127074892310,0.78,9.91E-08,0.2267713,0.2745386,0.0051569,0.0029864,0.0030116,0.0071567,0.0127208,0.0030535,0.0281795,0.0352710
2022-08-29,19473457572,1552.4,3.02E-05,69.1640656,83.7328244,1.5728374,0.9108478,0.9185264,2.1827699,3.8797644,0.9313140,8.5945885,10.7574667,136604921452,0.82,1.12E-07,0.2562796,0.3102625,0.0058280,0.0033750,0.0034035,0.0080880,0.0143760,0.0034509,0.0318463,0.0398606
2022-08-30,23714139361,1524.62,3.62E-05,82.7185269,100.1424053,1.8810750,1.0893517,1.0985351,2.6105393,4.6401031,1.1138287,10.2789172,12.8656665,227251392370,0.81,1.84E-07,0.4211389,0.5098479,0.0095770,0.0055461,0.0055929,0.0132909,0.0236238,0.0056708,0.0523323,0.0655020
2022-08-31,26136983036,1554.16,4.06E-05,92.9362179,112.5123566,2.1134322,1.2239123,1.2342301,2.9330026,5.2132654,1.2514128,11.5486061,14.4548800,195475267729,0.83,1.62E-07,0.3711964,0.4493854,0.0084413,0.0048884,0.0049296,0.0117147,0.0208223,0.0049983,0.0461263,0.0577342
2022-09-01,23613263110,1585.98,3.75E-05,85.6815913,103.7296114,1.9484571,1.1283734,1.1378858,2.7040516,4.8063165,1.1537272,10.6471188,13.3265282,154211559634,0.88,1.36E-07,0.3104798,0.3758795,0.0070605,0.0040888,0.0041233,0.0097985,0.0174164,0.0041807,0.0385814,0.0482906
2022-09-02,17102479580,1574.02,2.69E-05,61.5889980,74.5621401,1.4005753,0.8110889,0.8179265,1.9437060,3.4548403,0.8293135,7.6532820,9.5792749,140824211136,0.87,1.23E-07,0.2803047,0.3393483,0.0063743,0.0036914,0.0037226,0.0088462,0.0157237,0.0037744,0.0348317,0.0435973
2022-09-03,10161641535,1557.54,1.58E-05,36.2106975,43.8381398,0.8234556,0.4768724,0.4808925,1.1427845,2.0312423,0.4875874,4.4996783,5.6320485,99737834714,0.89,8.88E-08,0.2030878,0.2458663,0.0046184,0.0026745,0.0026971,0.0064093,0.0113922,0.0027346,0.0252365,0.0315874
2022-09-04,11434326814,1579.06,1.81E-05,41.3088443,50.0101632,0.9393909,0.5440119,0.5485980,1.3036785,2.3172233,0.5562354,5.1331933,6.4249913,95838389214,0.9,8.63E-08,0.1973403,0.2389082,0.0044877,0.0025988,0.0026208,0.0062279,0.0110698,0.0026572,0.0245223,0.0306934
2022-09-05,14619902921,1617.5,2.36E-05,54.1031547,65.4994746,1.2303422,0.7125050,0.7185115,1.7074580,3.0349213,0.7285145,6.7230628,8.4149606,93631115029,0.88,8.24E-08,0.1885110,0.2282191,0.0042869,0.0024826,0.0025035,0.0059493,0.0105745,0.0025384,0.0234251,0.0293201
2022-09-06,19269708826,1558.9,3.00E-05,68.7269737,83.2036632,1.5628977,0.9050916,0.9127217,2.1689756,3.8552457,0.9254284,8.5402738,10.6894834,158173627613,0.82,1.30E-07,0.2967439,0.3592502,0.0067482,0.0039079,0.0039409,0.0093650,0.0166459,0.0039957,0.0368745,0.0461542
2022-09-07,24171122353,1630,3.94E-05,90.1401409,109.1273123,2.0498475,1.1870897,1.1970971,2.8447603,5.0564192,1.2137628,11.2011550,14.0199908,142741592760,0.84,1.20E-07,0.2743239,0.3321076,0.0062383,0.0036127,0.0036431,0.0086575,0.0153882,0.0036938,0.0340885,0.0426671
2022-09-08,27017252517,1635.6,4.42E-05,101.1002187,122.3960273,2.2990871,1.3314272,1.3426513,3.1906528,5.6712257,1.3613434,12.5630958,15.7246719,128686053972,0.85,1.09E-07,0.2502558,0.3029699,0.0056910,0.0032957,0.0033235,0.0078979,0.0140381,0.0033698,0.0310977,0.0389237
2022-09-09,25466962749,1719.35,4.38E-05,100.1786690,121.2803619,2.2781304,1.3192909,1.3304127,3.1615693,5.6195313,1.3489345,12.4485805,15.5813382,128358437579,0.89,1.14E-07,0.2613655,0.3164197,0.0059436,0.0034420,0.0034710,0.0082485,0.0146613,0.0035194,0.0324783,0.0406516
2022-09-10,15146464248,1774.69,2.69E-05,61.4989325,74.4531033,1.3985271,0.8099028,0.8167304,1.9408636,3.4497881,0.8281007,7.6420901,9.5652665,100183681417,0.91,9.12E-08,0.2085798,0.2525151,0.0047432,0.0027469,0.0027700,0.0065826,0.0117003,0.0028086,0.0259189,0.0324416
2022-09-11,13281379803,1767.02,2.35E-05,53.6930992,65.0030447,1.2210172,0.7071048,0.7130658,1.6945170,3.0119192,0.7229930,6.6721077,8.3511824,97329475483,0.89,8.66E-08,0.1981838,0.2399294,0.0045068,0.0026100,0.0026320,0.0062545,0.0111171,0.0026686,0.0246271,0.0308246
2022-09-12,21385726349,1716.53,3.67E-05,83.9864481,101.6774021,1.9099084,1.1060494,1.1153736,2.6505540,4.7112273,1.1309016,10.4364739,13.0628732,130872151065,0.93,1.22E-07,0.2784608,0.3371159,0.0063324,0.0036672,0.0036981,0.0087880,0.0156203,0.0037496,0.0346026,0.0433105
